Puntaje estudiante;;;;;;;;;;Municipio estudiante;;;Departamento estudiante;
Puntaje total;ESTU_CONSECUTIVO;PUNT_LENGUAJE;PUNT_MATEMATICAS;PUNT_C_SOCIALES;PUNT_FILOSOFIA;PUNT_BIOLOGIA;PUNT_QUIMICA;PUNT_FISICA;PUNT_INGLES;CODIGO;ESTU_RESIDE_MCPIO;;CODIGO;DEPARTAMENTO
301;SABER1120121018831;38;43;42;29;44;39;23;43;;;;;
318;SABER1120121018832;54;46;31;39;39;47;36;26;;;;;
315;SABER1120121018833;44;40;48;36;37;38;37;35;;;;;
355;SABER1120121018834;52;51;36;50;45;44;37;40;;;;;
323;SABER1120121018835;46;49;36;19;42;42;52;37;;;;;
254;SABER1120121018836;44;30;34;23;30;32;24;37;;;;;
363;SABER1120121018837;52;47;46;48;44;40;47;39;;;;;
292;SABER1120121018838;31;34;36;34;37;38;42;40;;;;;
284;SABER1120121018839;41;40;38;29;34;40;29;33;;;;;
336;SABER1120121018840;44;46;44;36;42;50;43;31;;;;;
316;SABER1120121018841;36;41;44;34;44;42;36;39;;;;;
354;SABER1120121018842;46;40;45;43;46;50;42;42;;;;;
302;SABER1120121018843;39;41;44;30;40;40;33;35;;;;;
351;SABER1120121018844;52;49;47;33;54;50;40;26;;;;;
286;SABER1120121018845;41;34;24;30;42;29;43;43;;;;;
319;SABER1120121018846;48;40;40;30;37;47;40;37;;;;;
346;SABER1120121018847;48;49;47;38;45;44;40;35;;;;;
301;SABER1120121018848;39;43;33;30;40;50;46;20;;;;;
338;SABER1120121018849;48;29;42;41;51;48;37;42;;;;;
333;SABER1120121018850;44;44;41;37;39;43;42;43;;;;;
296;SABER1120121018851;54;34;33;36;40;35;29;35;;;;;
317;SABER1120121018852;48;40;42;40;42;37;28;40;;;;;
311;SABER1120121018853;46;37;48;29;36;37;45;33;;;;;
345;SABER1120121018854;46;43;52;30;51;38;46;39;;;;;
336;SABER1120121018855;52;51;47;38;49;44;29;26;;;;;
294;SABER1120121018856;50;37;45;39;21;40;36;26;;;;;
231;SABER1120121018857;0;47;0;39;37;40;33;35;;;;;
348;SABER1120121018858;56;43;45;38;51;52;37;26;;;;;
326;SABER1120121018859;48;49;42;32;39;32;39;45;;;;;
327;SABER1120121018860;41;47;42;41;37;40;36;43;;;;;
328;SABER1120121018861;41;46;40;43;40;45;33;40;;;;;
340;SABER1120121018862;59;40;42;31;39;50;36;43;;;;;
280;SABER1120121018863;41;40;40;22;39;37;28;33;;;;;
366;SABER1120121018864;59;54;54;42;42;37;36;42;;;;;
314;SABER1120121018865;46;41;49;29;39;41;36;33;;;;;
365;SABER1120121018866;59;52;48;43;49;43;42;29;;;;;
330;SABER1120121018867;38;37;44;39;44;47;39;42;;;;;
285;SABER1120121018868;52;29;44;22;39;37;29;33;;;;;
270;SABER1120121018869;48;25;44;26;39;35;24;29;;;;;
321;SABER1120121018870;54;43;40;30;45;42;24;43;;;;;
328;SABER1120121018871;36;34;44;37;46;42;47;42;;;;;
362;SABER1120121018872;56;40;50;41;42;47;49;37;;;;;
336;SABER1120121018873;48;40;40;35;44;50;48;31;;;;;
340;SABER1120121018874;48;37;40;47;44;45;48;31;;;;;
313;SABER1120121018875;39;44;49;32;39;40;33;37;;;;;
303;SABER1120121018876;48;46;36;32;46;42;18;35;;;;;
285;SABER1120121018877;39;33;45;27;40;35;29;37;;;;;
334;SABER1120121018878;50;49;38;45;37;38;46;31;;;;;
318;SABER1120121018879;52;43;44;32;51;37;36;23;;;;;
349;SABER1120121018880;52;46;42;46;44;35;42;42;;;;;
330;SABER1120121018881;44;52;42;38;34;32;49;39;;;;;
357;SABER1120121018882;54;46;50;33;47;47;43;37;;;;;
334;SABER1120121018883;46;51;48;36;42;37;39;35;;;;;
393;SABER1120121018884;54;49;51;49;58;39;48;45;;;;;
382;SABER1120121018885;48;45;48;49;38;54;54;46;;;;;
438;SABER1120121018886;62;45;51;49;51;62;57;61;;;;;
387;SABER1120121018887;35;66;48;37;33;47;38;83;;;;;
467;SABER1120121018888;59;59;60;43;58;59;52;77;;;;;
401;SABER1120121018889;56;49;42;41;53;58;55;47;;;;;
324;SABER1120121018890;44;40;47;27;34;45;40;47;;;;;
452;SABER1120121018891;66;47;57;57;51;50;54;70;;;;;
326;SABER1120121018892;54;37;40;41;42;25;42;45;;;;;
386;SABER1120121018893;61;37;44;50;55;49;42;48;;;;;
356;SABER1120121018894;41;44;48;44;44;50;45;40;;;;;
387;SABER1120121018895;52;37;51;49;53;46;57;42;;;;;
428;SABER1120121018896;54;54;53;53;49;62;50;53;;;;;
388;SABER1120121018897;50;57;42;41;49;54;52;43;;;;;
380;SABER1120121018898;48;49;49;46;46;43;44;55;;;;;
331;SABER1120121018899;50;46;44;39;33;50;29;40;;;;;
386;SABER1120121018900;50;52;47;44;49;51;51;42;;;;;
343;SABER1120121018901;46;46;42;30;49;44;43;43;;;;;
393;SABER1120121018902;52;52;47;54;46;57;45;40;;;;;
441;SABER1120121018903;61;68;60;55;42;52;52;51;;;;;
437;SABER1120121018904;52;68;58;54;61;50;51;43;;;;;
432;SABER1120121018905;66;65;58;53;53;50;50;37;;;;;
381;SABER1120121018906;57;43;40;40;46;50;54;51;;;;;
453;SABER1120121018907;69;57;55;55;56;55;63;43;;;;;
391;SABER1120121018908;63;49;51;41;54;48;37;48;;;;;
334;SABER1120121018909;54;40;33;32;44;42;52;37;;;;;
356;SABER1120121018910;46;51;44;26;48;54;42;45;;;;;
366;SABER1120121018911;48;54;42;34;46;49;47;46;;;;;
439;SABER1120121018912;59;55;51;43;56;59;60;56;;;;;
348;SABER1120121018913;48;30;54;47;44;43;39;43;;;;;
411;SABER1120121018914;52;65;56;50;42;50;57;39;;;;;
367;SABER1120121018915;50;54;42;37;44;52;49;39;;;;;
387;SABER1120121018916;52;52;48;47;44;51;42;51;;;;;
394;SABER1120121018917;59;55;49;43;49;53;49;37;;;;;
322;SABER1120121018918;46;37;50;34;42;37;36;40;;;;;
414;SABER1120121018919;54;49;58;50;56;48;57;42;;;;;
347;SABER1120121018920;46;51;45;23;45;55;40;42;;;;;
398;SABER1120121018921;48;60;45;48;42;52;60;43;;;;;
375;SABER1120121018922;50;57;44;46;44;50;44;40;;;;;
372;SABER1120121018923;50;43;42;39;46;56;44;52;;;;;
477;SABER1120121018924;79;60;58;45;49;55;63;68;;;;;
362;SABER1120121018925;54;52;40;38;51;44;37;46;;;;;
373;SABER1120121018926;44;51;50;37;51;45;49;46;;;;;
347;SABER1120121018927;48;43;50;45;40;38;46;37;;;;;
374;SABER1120121018928;54;47;41;39;48;45;52;48;;;;;
380;SABER1120121018929;54;46;40;46;44;58;52;40;;;;;
436;SABER1120121018930;61;49;56;57;56;59;48;50;;;;;
451;SABER1120121018931;61;65;53;53;53;56;57;53;;;;;
325;SABER1120121018932;59;37;20;37;42;45;42;43;;;;;
378;SABER1120121018933;56;40;45;52;44;53;51;37;;;;;
398;SABER1120121018934;56;57;50;38;54;48;43;52;;;;;
369;SABER1120121018935;46;46;45;48;47;52;40;45;;;;;
360;SABER1120121018936;61;41;51;41;34;44;29;59;;;;;
356;SABER1120121018937;61;37;47;44;39;41;42;45;;;;;
345;SABER1120121018938;48;33;44;31;55;47;47;40;;;;;
327;SABER1120121018939;52;49;49;29;46;41;32;29;;;;;
356;SABER1120121018940;50;29;42;44;44;41;69;37;;;;;
421;SABER1120121018941;61;57;53;50;55;47;52;46;;;;;
358;SABER1120121018942;57;62;42;29;39;45;44;40;;;;;
377;SABER1120121018943;52;54;47;34;53;54;50;33;;;;;
348;SABER1120121018944;54;52;44;29;36;51;42;40;;;;;
340;SABER1120121018945;46;57;42;39;33;49;39;35;;;;;
321;SABER1120121018946;50;46;36;29;44;41;42;33;;;;;
392;SABER1120121018947;54;43;56;35;44;50;57;53;;;;;
321;SABER1120121018948;44;40;40;29;44;45;42;37;;;;;
328;SABER1120121018949;41;33;45;30;42;42;49;46;;;;;
291;SABER1120121018950;36;41;36;22;46;35;36;39;;;;;
345;SABER1120121018951;48;52;42;32;42;46;48;35;;;;;
389;SABER1120121018952;56;49;46;42;46;48;59;43;;;;;
330;SABER1120121018953;48;43;36;36;39;49;36;43;;;;;
371;SABER1120121018954;46;54;44;48;49;45;52;33;;;;;
368;SABER1120121018955;48;47;49;50;48;42;49;35;;;;;
319;SABER1120121018956;48;40;47;34;36;39;42;33;;;;;
424;SABER1120121018957;59;49;66;46;46;49;57;52;;;;;
382;SABER1120121018958;57;54;44;42;51;46;45;43;;;;;
350;SABER1120121018959;46;52;49;40;42;37;39;45;;;;;
358;SABER1120121018960;48;49;42;37;42;46;57;37;;;;;
330;SABER1120121018961;41;43;40;31;51;43;42;39;;;;;
313;SABER1120121018962;50;46;42;29;30;37;42;37;;;;;
376;SABER1120121018963;52;54;50;48;46;47;42;37;;;;;
340;SABER1120121018964;44;46;44;48;40;50;37;31;;;;;
337;SABER1120121018965;48;43;42;41;42;44;37;40;;;;;
322;SABER1120121018966;44;29;40;33;49;47;49;31;;;;;
324;SABER1120121018967;35;46;46;31;36;43;44;43;;;;;
417;SABER1120121018968;50;62;52;48;53;45;50;57;;;;;
354;SABER1120121018969;54;54;49;34;39;45;36;43;;;;;
368;SABER1120121018970;61;40;53;45;45;48;33;43;;;;;
386;SABER1120121018971;48;57;40;39;44;60;55;43;;;;;
342;SABER1120121018972;54;54;36;32;42;39;45;40;;;;;
388;SABER1120121018973;61;51;48;54;51;46;48;29;;;;;
323;SABER1120121018974;41;54;40;31;42;47;29;39;;;;;
343;SABER1120121018975;38;37;49;41;47;42;46;43;;;;;
318;SABER1120121018976;48;40;44;30;42;48;33;33;;;;;
359;SABER1120121018977;38;54;47;46;42;40;47;45;;;;;
308;SABER1120121018978;46;49;40;11;42;39;42;39;;;;;
341;SABER1120121018979;52;40;42;43;37;49;39;39;;;;;
331;SABER1120121018980;50;49;47;48;44;45;9;39;;;;;
279;SABER1120121018981;48;29;38;41;37;33;39;14;;;;;
345;SABER1120121018982;52;37;51;41;34;42;49;39;;;;;
388;SABER1120121018983;61;55;53;22;44;37;44;72;;;;;
364;SABER1120121018984;41;54;44;41;46;56;47;35;;;;;
322;SABER1120121018985;44;43;38;32;44;43;39;39;;;;;
407;SABER1120121018986;50;60;49;48;49;48;52;51;;;;;
367;SABER1120121018987;41;46;57;42;51;41;42;47;;;;;
299;SABER1120121018988;46;59;34;12;30;40;33;45;;;;;
318;SABER1120121018989;54;43;34;41;37;42;36;31;;;;;
382;SABER1120121018990;56;57;34;48;54;55;49;29;;;;;
337;SABER1120121018991;50;40;50;34;46;44;25;48;;;;;
330;SABER1120121018992;61;52;45;36;37;42;24;33;;;;;
339;SABER1120121018993;50;47;39;30;45;48;43;37;;;;;
344;SABER1120121018994;46;46;44;36;47;48;37;40;;;;;
386;SABER1120121018995;54;54;49;43;55;45;49;37;;;;;
303;SABER1120121018996;35;49;38;33;40;38;33;37;;;;;
354;SABER1120121018997;44;57;38;39;42;37;50;47;;;;;
274;SABER1120121018998;44;43;45;23;20;44;29;26;;;;;
333;SABER1120121018999;59;40;31;37;46;44;36;40;;;;;
309;SABER1120121019000;38;37;34;33;49;44;37;37;;;;;
341;SABER1120121019001;46;46;44;42;46;45;39;33;;;;;
304;SABER1120121019002;44;49;44;33;40;32;29;33;;;;;
296;SABER1120121019003;32;41;36;31;42;32;36;46;;;;;
344;SABER1120121019004;50;54;44;47;39;32;39;39;;;;;
309;SABER1120121019005;41;37;36;33;42;35;46;39;;;;;
303;SABER1120121019006;26;40;40;36;37;42;43;39;;;;;
388;SABER1120121019007;48;57;47;45;54;50;54;33;;;;;
302;SABER1120121019008;44;41;41;37;44;30;36;29;;;;;
363;SABER1120121019009;50;51;38;46;37;45;54;42;;;;;
307;SABER1120121019010;38;37;40;37;33;41;42;39;;;;;
353;SABER1120121019011;36;49;44;37;49;50;45;43;;;;;
344;SABER1120121019012;46;30;47;53;42;47;39;40;;;;;
358;SABER1120121019013;52;43;47;32;49;45;48;42;;;;;
337;SABER1120121019014;39;49;44;43;42;40;37;43;;;;;
307;SABER1120121019015;50;43;40;18;44;47;32;33;;;;;
308;SABER1120121019016;46;34;38;38;45;38;29;40;;;;;
304;SABER1120121019017;32;33;47;23;37;47;52;33;;;;;
286;SABER1120121019018;41;43;33;39;42;35;39;14;;;;;
341;SABER1120121019019;44;46;48;41;39;42;39;42;;;;;
303;SABER1120121019020;26;46;40;32;42;42;42;33;;;;;
308;SABER1120121019021;48;34;41;26;36;45;28;50;;;;;
443;SABER1120121019022;52;46;56;50;54;57;63;65;;;;;
346;SABER1120121019023;54;51;42;29;36;43;36;55;;;;;
339;SABER1120121019024;48;54;40;36;44;39;39;39;;;;;
382;SABER1120121019025;52;52;42;52;54;40;37;53;;;;;
374;SABER1120121019026;59;62;50;26;44;43;47;43;;;;;
450;SABER1120121019027;50;71;54;53;39;56;62;65;;;;;
448;SABER1120121019028;57;54;58;49;44;59;57;70;;;;;
413;SABER1120121019029;54;66;42;48;49;63;49;42;;;;;
494;SABER1120121019030;52;79;51;38;66;52;60;96;;;;;
412;SABER1120121019031;63;55;48;48;49;50;54;45;;;;;
347;SABER1120121019032;48;40;40;38;56;45;37;43;;;;;
441;SABER1120121019033;59;54;58;55;51;56;57;51;;;;;
319;SABER1120121019034;41;51;44;33;42;38;37;33;;;;;
322;SABER1120121019035;48;37;42;19;45;42;46;43;;;;;
338;SABER1120121019036;46;41;55;39;42;37;39;39;;;;;
328;SABER1120121019037;56;37;54;33;42;45;24;37;;;;;
407;SABER1120121019038;54;54;45;43;49;47;63;52;;;;;
307;SABER1120121019039;50;25;34;36;39;39;42;42;;;;;
365;SABER1120121019040;54;43;51;37;46;45;47;42;;;;;
359;SABER1120121019041;56;44;49;37;44;45;47;37;;;;;
432;SABER1120121019042;66;54;52;58;55;60;54;33;;;;;
344;SABER1120121019043;44;37;44;43;47;47;43;39;;;;;
411;SABER1120121019044;54;62;52;47;51;51;48;46;;;;;
390;SABER1120121019045;44;52;42;39;49;65;57;42;;;;;
350;SABER1120121019046;46;51;40;36;47;50;43;37;;;;;
365;SABER1120121019047;50;37;40;50;45;55;49;39;;;;;
341;SABER1120121019048;41;37;44;47;49;43;45;35;;;;;
368;SABER1120121019049;50;54;42;27;56;45;46;48;;;;;
319;SABER1120121019050;46;29;45;38;45;44;37;35;;;;;
329;SABER1120121019051;41;46;42;30;45;40;43;42;;;;;
340;SABER1120121019052;56;43;40;29;46;37;50;39;;;;;
335;SABER1120121019053;46;40;38;36;45;45;43;42;;;;;
335;SABER1120121019054;52;49;40;36;36;37;42;43;;;;;
356;SABER1120121019055;56;47;44;33;45;48;46;37;;;;;
353;SABER1120121019056;57;51;48;34;44;42;42;35;;;;;
260;SABER1120121019057;35;29;46;30;34;32;17;37;;;;;
327;SABER1120121019058;44;44;46;43;39;38;33;40;;;;;
357;SABER1120121019059;50;40;49;48;40;44;46;40;;;;;
393;SABER1120121019060;54;51;48;43;45;53;54;45;;;;;
336;SABER1120121019061;46;37;44;44;39;41;42;43;;;;;
312;SABER1120121019062;36;49;39;34;39;42;36;37;;;;;
356;SABER1120121019063;54;51;48;32;51;41;39;40;;;;;
294;SABER1120121019064;48;29;40;17;42;46;39;33;;;;;
350;SABER1120121019065;54;43;49;40;49;39;36;40;;;;;
327;SABER1120121019066;48;43;38;36;42;41;29;50;;;;;
328;SABER1120121019067;38;43;42;34;51;41;42;37;;;;;
393;SABER1120121019068;48;49;36;40;56;55;57;52;;;;;
427;SABER1120121019069;56;66;53;50;55;52;47;48;;;;;
441;SABER1120121019070;57;68;56;33;58;55;54;60;;;;;
358;SABER1120121019071;52;46;33;42;53;48;42;42;;;;;
332;SABER1120121019072;48;40;45;41;37;42;39;40;;;;;
350;SABER1120121019073;48;46;48;34;44;41;42;47;;;;;
350;SABER1120121019074;48;40;40;39;46;44;42;51;;;;;
497;SABER1120121019075;48;65;62;57;70;77;72;46;;;;;
361;SABER1120121019076;48;46;48;34;44;54;47;40;;;;;
378;SABER1120121019077;48;43;48;43;55;49;52;40;;;;;
309;SABER1120121019078;48;37;42;43;39;41;24;35;;;;;
312;SABER1120121019079;54;44;36;36;42;40;37;23;;;;;
406;SABER1120121019080;52;68;51;50;53;49;44;39;;;;;
479;SABER1120121019081;41;115;38;12;37;60;80;96;;;;;
392;SABER1120121019082;52;59;56;48;51;45;42;39;;;;;
435;SABER1120121019083;59;59;58;55;58;55;54;37;;;;;
378;SABER1120121019084;46;40;58;46;53;39;39;57;;;;;
377;SABER1120121019085;44;47;44;43;47;47;46;59;;;;;
434;SABER1120121019086;61;59;50;53;51;58;55;47;;;;;
323;SABER1120121019087;41;43;36;29;39;49;44;42;;;;;
341;SABER1120121019088;41;43;42;27;49;53;49;37;;;;;
322;SABER1120121019089;41;40;45;41;45;42;33;35;;;;;
353;SABER1120121019090;48;46;44;36;45;47;54;33;;;;;
429;SABER1120121019091;57;49;46;39;53;62;63;60;;;;;
479;SABER1120121019092;57;68;54;68;53;65;62;52;;;;;
442;SABER1120121019093;57;62;51;44;51;63;69;45;;;;;
400;SABER1120121019094;54;52;51;41;49;44;57;52;;;;;
369;SABER1120121019095;54;49;42;43;51;35;52;43;;;;;
419;SABER1120121019096;54;57;49;50;53;56;39;61;;;;;
520;SABER1120121019097;54;71;64;60;63;57;63;88;;;;;
383;SABER1120121019098;61;40;58;55;49;43;42;35;;;;;
378;SABER1120121019099;61;55;36;41;42;45;50;48;;;;;
365;SABER1120121019100;44;43;52;32;53;46;45;50;;;;;
486;SABER1120121019101;61;72;57;61;57;62;68;48;;;;;
421;SABER1120121019102;61;54;54;52;49;51;57;43;;;;;
324;SABER1120121019103;52;49;31;32;46;35;42;37;;;;;
437;SABER1120121019104;52;68;50;58;60;41;55;53;;;;;
504;SABER1120121019105;59;99;58;53;58;58;60;59;;;;;
428;SABER1120121019106;52;69;57;55;48;52;52;43;;;;;
419;SABER1120121019107;52;55;55;44;51;48;62;52;;;;;
463;SABER1120121019108;56;57;49;63;56;53;52;77;;;;;
358;SABER1120121019109;46;52;44;29;46;44;47;50;;;;;
386;SABER1120121019110;54;62;47;34;46;41;47;55;;;;;
466;SABER1120121019111;59;71;56;46;51;50;63;70;;;;;
300;SABER1120121019112;39;37;28;45;37;42;33;39;;;;;
411;SABER1120121019113;59;62;49;46;49;50;44;52;;;;;
401;SABER1120121019114;52;49;40;41;53;52;57;57;;;;;
361;SABER1120121019115;52;49;44;34;42;49;44;47;;;;;
347;SABER1120121019116;44;46;44;37;48;50;39;39;;;;;
303;SABER1120121019117;41;49;40;32;33;39;32;37;;;;;
361;SABER1120121019118;54;49;42;41;47;44;49;35;;;;;
333;SABER1120121019119;57;40;44;35;33;37;45;42;;;;;
356;SABER1120121019120;50;49;42;41;46;47;39;42;;;;;
361;SABER1120121019121;41;44;46;36;46;43;55;50;;;;;
439;SABER1120121019122;59;55;53;53;55;52;65;47;;;;;
379;SABER1120121019123;44;57;44;32;51;54;54;43;;;;;
371;SABER1120121019124;48;46;36;36;45;53;52;55;;;;;
383;SABER1120121019125;46;57;46;39;51;44;49;51;;;;;
366;SABER1120121019126;50;43;42;41;51;53;43;43;;;;;
343;SABER1120121019127;41;37;45;33;37;50;54;46;;;;;
425;SABER1120121019128;48;69;44;39;49;56;52;68;;;;;
429;SABER1120121019129;56;49;62;43;58;59;54;48;;;;;
514;SABER1120121019130;68;57;62;69;63;58;57;80;;;;;
511;SABER1120121019131;65;57;64;54;56;59;76;80;;;;;
395;SABER1120121019132;61;46;50;50;51;52;52;33;;;;;
425;SABER1120121019133;63;52;57;45;54;50;43;61;;;;;
435;SABER1120121019134;63;55;57;52;51;52;57;48;;;;;
319;SABER1120121019135;35;43;49;38;40;50;29;35;;;;;
340;SABER1120121019136;50;34;38;43;44;52;39;40;;;;;
433;SABER1120121019137;63;57;58;58;53;47;44;53;;;;;
475;SABER1120121019138;63;57;54;58;65;56;54;68;;;;;
396;SABER1120121019139;52;49;45;50;49;50;42;59;;;;;
343;SABER1120121019140;52;55;44;38;42;44;33;35;;;;;
442;SABER1120121019141;61;59;55;60;44;55;62;46;;;;;
388;SABER1120121019142;52;33;60;41;51;52;47;52;;;;;
427;SABER1120121019143;59;66;57;61;51;52;36;45;;;;;
402;SABER1120121019144;54;65;49;43;51;54;44;42;;;;;
344;SABER1120121019145;71;52;40;22;33;37;28;61;;;;;
373;SABER1120121019146;61;37;45;43;44;49;47;47;;;;;
488;SABER1120121019147;72;65;52;60;58;53;60;68;;;;;
416;SABER1120121019148;56;57;47;54;49;55;48;50;;;;;
478;SABER1120121019149;61;78;52;60;56;59;69;43;;;;;
430;SABER1120121019150;59;62;50;46;51;50;52;60;;;;;
374;SABER1120121019151;44;49;49;54;42;48;48;40;;;;;
467;SABER1120121019152;52;100;51;52;46;59;59;48;;;;;
407;SABER1120121019153;63;60;51;50;44;49;47;43;;;;;
382;SABER1120121019154;44;57;47;35;42;57;57;43;;;;;
440;SABER1120121019155;61;57;49;57;51;53;62;50;;;;;
448;SABER1120121019156;61;54;54;55;58;59;57;50;;;;;
275;SABER1120121019157;48;33;45;34;26;33;36;20;;;;;
366;SABER1120121019158;54;54;36;41;46;45;59;31;;;;;
332;SABER1120121019159;50;49;44;34;33;47;44;31;;;;;
319;SABER1120121019160;44;29;51;36;42;35;39;43;;;;;
431;SABER1120121019161;54;59;50;53;55;56;57;47;;;;;
346;SABER1120121019162;52;34;44;48;40;45;43;40;;;;;
336;SABER1120121019163;41;46;44;35;49;43;39;39;;;;;
410;SABER1120121019164;52;54;48;55;48;49;62;42;;;;;
334;SABER1120121019165;54;29;42;43;42;49;44;31;;;;;
372;SABER1120121019166;57;49;44;41;49;42;33;57;;;;;
571;SABER1120121019167;66;78;66;69;66;65;69;92;;;;;
382;SABER1120121019168;50;49;46;44;51;55;45;42;;;;;
418;SABER1120121019169;50;63;48;47;58;50;59;43;;;;;
394;SABER1120121019170;59;49;49;37;51;46;48;55;;;;;
350;SABER1120121019171;61;40;45;36;42;45;44;37;;;;;
373;SABER1120121019172;57;33;49;45;49;48;49;43;;;;;
320;SABER1120121019173;38;33;51;38;40;45;33;42;;;;;
446;SABER1120121019174;59;72;57;42;51;55;65;45;;;;;
411;SABER1120121019175;48;57;57;38;54;48;63;46;;;;;
399;SABER1120121019176;54;60;51;48;49;50;39;48;;;;;
366;SABER1120121019177;54;49;46;47;42;43;45;40;;;;;
365;SABER1120121019178;48;44;46;52;39;46;42;48;;;;;
400;SABER1120121019179;57;49;51;38;54;50;49;52;;;;;
358;SABER1120121019180;50;46;42;50;37;44;37;52;;;;;
300;SABER1120121019181;41;33;31;37;39;44;33;42;;;;;
435;SABER1120121019182;41;57;58;55;47;55;66;56;;;;;
393;SABER1120121019183;48;54;53;52;44;50;42;50;;;;;
354;SABER1120121019184;50;59;45;23;47;40;33;57;;;;;
314;SABER1120121019185;38;51;36;34;36;43;36;40;;;;;
302;SABER1120121019186;54;37;42;36;49;29;18;37;;;;;
287;SABER1120121019187;50;40;33;36;42;29;40;17;;;;;
390;SABER1120121019188;56;49;47;48;44;49;54;43;;;;;
327;SABER1120121019189;52;46;38;38;37;44;33;39;;;;;
355;SABER1120121019190;54;60;44;30;40;42;40;45;;;;;
315;SABER1120121019191;50;34;49;26;46;37;42;31;;;;;
366;SABER1120121019192;52;30;48;45;49;45;52;45;;;;;
320;SABER1120121019193;52;43;40;26;39;39;39;42;;;;;
353;SABER1120121019194;39;41;49;41;44;42;47;50;;;;;
289;SABER1120121019195;41;34;41;26;42;40;39;26;;;;;
400;SABER1120121019196;56;59;47;50;48;52;49;39;;;;;
358;SABER1120121019197;61;49;44;37;39;46;39;43;;;;;
357;SABER1120121019198;54;49;49;43;44;42;39;37;;;;;
325;SABER1120121019199;46;46;36;36;45;42;37;37;;;;;
320;SABER1120121019200;48;37;38;34;44;44;33;42;;;;;
442;SABER1120121019201;48;46;49;44;70;77;69;39;;;;;
427;SABER1120121019202;56;68;52;43;44;56;57;51;;;;;
311;SABER1120121019203;44;40;31;36;45;35;43;37;;;;;
335;SABER1120121019204;41;57;46;36;40;40;29;46;;;;;
323;SABER1120121019205;54;30;46;19;45;40;46;43;;;;;
315;SABER1120121019206;46;37;36;32;42;43;42;37;;;;;
506;SABER1120121019207;66;71;50;58;58;60;55;88;;;;;
356;SABER1120121019208;44;54;45;29;51;44;47;42;;;;;
305;SABER1120121019209;46;29;44;26;46;37;42;35;;;;;
274;SABER1120121019210;38;33;36;23;49;35;43;17;;;;;
322;SABER1120121019211;44;51;38;35;46;39;36;33;;;;;
311;SABER1120121019212;50;44;41;36;33;35;39;33;;;;;
190;SABER1120121019213;18;0;0;34;49;47;42;0;;;;;
310;SABER1120121019214;35;33;38;43;39;35;47;40;;;;;
315;SABER1120121019215;46;49;38;26;39;47;39;31;;;;;
411;SABER1120121019216;54;34;62;32;53;48;45;83;;;;;
298;SABER1120121019217;41;30;31;29;39;43;45;40;;;;;
319;SABER1120121019218;44;37;45;29;33;43;51;37;;;;;
310;SABER1120121019219;44;37;33;37;39;41;42;37;;;;;
354;SABER1120121019220;50;51;38;40;42;46;45;42;;;;;
343;SABER1120121019221;48;52;42;40;42;37;42;40;;;;;
359;SABER1120121019222;59;51;40;41;39;45;44;40;;;;;
248;SABER1120121019223;39;19;28;29;29;35;36;33;;;;;
339;SABER1120121019224;41;43;51;29;46;39;50;40;;;;;
311;SABER1120121019225;48;37;44;43;37;38;29;35;;;;;
303;SABER1120121019226;39;37;36;34;37;47;36;37;;;;;
329;SABER1120121019227;48;49;36;41;44;32;42;37;;;;;
417;SABER1120121019228;46;63;44;61;53;50;52;48;;;;;
318;SABER1120121019229;39;40;33;36;45;48;37;40;;;;;
302;SABER1120121019230;41;40;49;36;30;41;32;33;;;;;
290;SABER1120121019231;35;37;45;35;33;46;39;20;;;;;
225;SABER1120121019232;31;25;40;17;29;32;16;35;;;;;
370;SABER1120121019233;38;43;51;43;56;50;46;43;;;;;
322;SABER1120121019234;41;46;36;35;46;39;42;37;;;;;
330;SABER1120121019235;39;47;42;26;44;47;42;43;;;;;
345;SABER1120121019236;48;49;44;36;46;47;36;39;;;;;
334;SABER1120121019237;39;47;46;37;44;39;39;43;;;;;
310;SABER1120121019238;48;40;45;26;39;49;24;39;;;;;
292;SABER1120121019239;41;37;38;29;39;32;36;40;;;;;
347;SABER1120121019240;46;43;57;37;51;45;39;29;;;;;
282;SABER1120121019241;44;34;39;26;33;32;32;42;;;;;
360;SABER1120121019242;50;34;54;41;37;38;49;57;;;;;
355;SABER1120121019243;50;46;40;44;39;39;36;61;;;;;
316;SABER1120121019244;50;41;44;34;44;36;36;31;;;;;
304;SABER1120121019245;48;30;44;31;39;35;44;33;;;;;
302;SABER1120121019246;50;37;39;34;26;45;36;35;;;;;
323;SABER1120121019247;35;46;49;32;46;41;39;35;;;;;
294;SABER1120121019248;50;40;28;27;40;38;40;31;;;;;
310;SABER1120121019249;59;41;31;30;37;42;37;33;;;;;
351;SABER1120121019250;44;37;45;43;45;40;60;37;;;;;
385;SABER1120121019251;54;47;51;35;49;41;51;57;;;;;
354;SABER1120121019252;48;37;55;37;42;37;39;59;;;;;
321;SABER1120121019253;46;43;38;45;34;45;33;37;;;;;
390;SABER1120121019254;61;51;42;39;39;52;49;57;;;;;
383;SABER1120121019255;50;49;55;52;42;43;42;50;;;;;
464;SABER1120121019256;52;71;45;48;46;54;60;88;;;;;
628;SABER1120121019257;61;83;67;102;79;77;76;83;;;;;
323;SABER1120121019258;46;43;48;32;44;42;39;29;;;;;
372;SABER1120121019259;52;47;44;43;47;47;49;43;;;;;
378;SABER1120121019260;52;37;47;36;49;52;57;48;;;;;
459;SABER1120121019261;59;65;52;50;58;48;66;61;;;;;
